epoch,learning_rate,loss,masked_mae,masked_rmse,val_loss,val_masked_mae,val_masked_rmse
0,0.0003000000142492354,0.12722671031951904,0.27125731110572815,0.34433022141456604,0.1003650426864624,0.24973879754543304,0.304032564163208
1,0.0003000000142492354,0.08375761657953262,0.22103367745876312,0.2862423360347748,0.06739895790815353,0.19841733574867249,0.25168871879577637
2,0.0003000000142492354,0.07531298696994781,0.20791658759117126,0.27201342582702637,0.05601289123296738,0.17883984744548798,0.23177993297576904
3,0.0003000000142492354,0.0710790827870369,0.20102916657924652,0.26437777280807495,0.06379898637533188,0.19628484547138214,0.24854671955108643
4,0.0003000000142492354,0.06973586231470108,0.19865258038043976,0.2618064284324646,0.06105029582977295,0.18638776242733002,0.24159842729568481
5,0.0003000000142492354,0.06752661615610123,0.19518433511257172,0.257840096950531,0.06150059774518013,0.1855364441871643,0.23947525024414062
6,0.0003000000142492354,0.06574146449565887,0.19180501997470856,0.25444912910461426,0.06652390956878662,0.20179423689842224,0.25100064277648926
7,0.0003000000142492354,0.06492168456315994,0.19079463183879852,0.25281062722206116,0.07425248622894287,0.21128980815410614,0.2619025707244873
8,0.0001500000071246177,0.05933735519647598,0.18005220592021942,0.241675466299057,0.05803899094462395,0.1807107925415039,0.23294445872306824
9,0.0001500000071246177,0.059072498232126236,0.1797146201133728,0.2411835491657257,0.05025015398859978,0.16461779177188873,0.21823571622371674
10,0.0001500000071246177,0.05872345343232155,0.17936502397060394,0.24069511890411377,0.04865768551826477,0.16263723373413086,0.21624277532100677
11,0.0001500000071246177,0.05880090966820717,0.17953002452850342,0.24072293937206268,0.053091950714588165,0.17162828147411346,0.2237221598625183
12,0.0001500000071246177,0.05839357152581215,0.17848865687847137,0.23977842926979065,0.05212279409170151,0.16987012326717377,0.22204376757144928
13,0.0001500000071246177,0.05833129212260246,0.17858050763607025,0.23967456817626953,0.04922300577163696,0.16434650123119354,0.21804800629615784
14,0.0001500000071246177,0.05759164318442345,0.1772935837507248,0.23819600045681,0.05626709759235382,0.1773764193058014,0.22944606840610504
15,0.0001500000071246177,0.057159747928380966,0.17646603286266327,0.23735320568084717,0.05125856399536133,0.16719096899032593,0.22029174864292145
16,7.500000356230885e-05,0.05551638826727867,0.17304794490337372,0.23388637602329254,0.05098828300833702,0.16713538765907288,0.2196159064769745
17,7.500000356230885e-05,0.055124640464782715,0.17243769764900208,0.23325450718402863,0.054170481860637665,0.17126892507076263,0.22460010647773743
18,7.500000356230885e-05,0.05525796487927437,0.17257948219776154,0.2331814467906952,0.04949578642845154,0.1642179787158966,0.21745732426643372
19,7.500000356230885e-05,0.054650772362947464,0.17145384848117828,0.23212461173534393,0.051483578979969025,0.1683652400970459,0.21997125446796417
20,7.500000356230885e-05,0.05445437505841255,0.17111189663410187,0.2317505180835724,0.05240413546562195,0.17084254324436188,0.22178754210472107
