epoch,learning_rate,loss,masked_mae,masked_rmse,val_loss,val_masked_mae,val_masked_rmse
0,0.0003000000142492354,0.09439640492200851,0.22436262667179108,0.2976681888103485,0.057563070207834244,0.1767093688249588,0.23507340252399445
1,0.0003000000142492354,0.0689108744263649,0.1925930231809616,0.26077598333358765,0.06686854362487793,0.19204716384410858,0.25431394577026367
2,0.0003000000142492354,0.06724537909030914,0.18974240124225616,0.2577877938747406,0.05497172847390175,0.17182278633117676,0.23004482686519623
3,0.0003000000142492354,0.06598598510026932,0.18750648200511932,0.25522804260253906,0.056591276079416275,0.17664143443107605,0.23370014131069183
4,0.0003000000142492354,0.06548729538917542,0.1867711842060089,0.2541390359401703,0.05458856374025345,0.17165687680244446,0.2292696237564087
5,0.0003000000142492354,0.06385621428489685,0.18414869904518127,0.2509669363498688,0.05746866390109062,0.1758321076631546,0.23401041328907013
6,0.0003000000142492354,0.06157378852367401,0.18091502785682678,0.24653524160385132,0.053148556500673294,0.17019279301166534,0.22566774487495422
7,0.0003000000142492354,0.060612816363573074,0.1795521229505539,0.24449515342712402,0.05188596248626709,0.16893306374549866,0.22267496585845947
8,0.0003000000142492354,0.058614276349544525,0.17636287212371826,0.2402956336736679,0.053680043667554855,0.1712556779384613,0.2262667566537857
9,0.0003000000142492354,0.05763281136751175,0.1747523695230484,0.23829224705696106,0.04974578693509102,0.16395461559295654,0.2181449681520462
10,0.0003000000142492354,0.056318242102861404,0.17276135087013245,0.23570142686367035,0.05049975588917732,0.16641293466091156,0.21966317296028137
11,0.0003000000142492354,0.05556017905473709,0.17138426005840302,0.23398464918136597,0.05096624046564102,0.1655767858028412,0.2199041098356247
12,0.0003000000142492354,0.05485649034380913,0.16996899247169495,0.2324683666229248,0.047432128340005875,0.1604021042585373,0.21294820308685303
13,0.0003000000142492354,0.054264798760414124,0.16907072067260742,0.2311973124742508,0.04728810489177704,0.15961869060993195,0.21330370008945465
14,0.0003000000142492354,0.053759507834911346,0.1680223047733307,0.23013009130954742,0.04750263690948486,0.16023047268390656,0.21305952966213226
15,0.0003000000142492354,0.05321143940091133,0.1670476198196411,0.2290179282426834,0.04959017038345337,0.1637018471956253,0.2164069414138794
16,0.0003000000142492354,0.05300579592585564,0.16664884984493256,0.22847120463848114,0.04737046733498573,0.15964031219482422,0.21257740259170532
17,0.0003000000142492354,0.05268760398030281,0.1660868227481842,0.2279840111732483,0.047951750457286835,0.1607658565044403,0.21345773339271545
18,0.0003000000142492354,0.052397772669792175,0.16552472114562988,0.22708569467067719,0.04729408398270607,0.16064831614494324,0.2134166657924652
19,0.0001500000071246177,0.051862169057130814,0.1647082418203354,0.22614547610282898,0.046168889850378036,0.15781788527965546,0.21022875607013702
20,0.0001500000071246177,0.05169203132390976,0.16439969837665558,0.22574938833713531,0.04523685202002525,0.15594837069511414,0.20804239809513092
21,0.0001500000071246177,0.05166207626461983,0.1643633395433426,0.22563503682613373,0.04518437013030052,0.15571308135986328,0.20805734395980835
22,0.0001500000071246177,0.051494404673576355,0.16405291855335236,0.2251856029033661,0.04537772387266159,0.15605755150318146,0.208187997341156
23,0.0001500000071246177,0.051506392657756805,0.16412311792373657,0.2252688705921173,0.04640646651387215,0.1583598405122757,0.2104232907295227
24,0.0001500000071246177,0.0512089729309082,0.1636403203010559,0.2246299386024475,0.04537032172083855,0.15612837672233582,0.20828886330127716
25,0.0001500000071246177,0.051290303468704224,0.16372370719909668,0.22487473487854004,0.04638130962848663,0.15821246802806854,0.2104363590478897
26,7.500000356230885e-05,0.050878752022981644,0.1631530374288559,0.22386275231838226,0.04522160440683365,0.15571771562099457,0.20752017199993134
27,7.500000356230885e-05,0.05109763145446777,0.16340279579162598,0.2244866043329239,0.04507435858249664,0.15580518543720245,0.2075134962797165
28,7.500000356230885e-05,0.05082456395030022,0.16304565966129303,0.22388680279254913,0.04473836347460747,0.15506082773208618,0.2069309651851654
29,7.500000356230885e-05,0.05064889043569565,0.16276150941848755,0.22338150441646576,0.04537450894713402,0.1566380113363266,0.20842109620571136
30,7.500000356230885e-05,0.05082309618592262,0.1630343645811081,0.2238372415304184,0.04506840929389,0.1556171327829361,0.20749163627624512
31,7.500000356230885e-05,0.05059817433357239,0.1626909077167511,0.2233753800392151,0.04608280584216118,0.15767157077789307,0.20960946381092072
32,7.500000356230885e-05,0.05061531439423561,0.16278329491615295,0.22335726022720337,0.04472997412085533,0.15528732538223267,0.207129567861557
33,7.500000356230885e-05,0.050575338304042816,0.1626678705215454,0.2232782542705536,0.04477304965257645,0.15527093410491943,0.20721851289272308
34,3.7500001781154424e-05,0.05044310912489891,0.16242378950119019,0.2229306548833847,0.044443197548389435,0.15466691553592682,0.20646531879901886
35,3.7500001781154424e-05,0.05050273984670639,0.16252988576889038,0.22309154272079468,0.044978395104408264,0.1556352972984314,0.20745167136192322
36,3.7500001781154424e-05,0.05030155926942825,0.16223424673080444,0.2227351814508438,0.044613584876060486,0.15491463243961334,0.20665103197097778
37,3.7500001781154424e-05,0.050501324236392975,0.16249942779541016,0.2231467366218567,0.044598545879125595,0.15482357144355774,0.20656663179397583
38,3.7500001781154424e-05,0.0504794642329216,0.16241973638534546,0.22315825521945953,0.04454948753118515,0.15481899678707123,0.206655815243721
39,3.7500001781154424e-05,0.0502823181450367,0.16227053105831146,0.22261404991149902,0.044304873794317245,0.1544816642999649,0.20614050328731537
40,3.7500001781154424e-05,0.05032970383763313,0.1622246354818344,0.22278431057929993,0.0445907823741436,0.1548832356929779,0.20662008225917816
41,3.7500001781154424e-05,0.0503547377884388,0.16228289902210236,0.22272388637065887,0.04455702751874924,0.15499529242515564,0.20684269070625305
42,3.7500001781154424e-05,0.05017569661140442,0.16202375292778015,0.22238758206367493,0.04446360096335411,0.15465575456619263,0.20644143223762512
43,3.7500001781154424e-05,0.05040295049548149,0.1623908132314682,0.22285814583301544,0.0444970540702343,0.1549079269170761,0.20680664479732513
44,3.7500001781154424e-05,0.050318893045186996,0.1622164398431778,0.22274261713027954,0.0446082167327404,0.1548030525445938,0.20655879378318787
45,1.8750000890577212e-05,0.050067853182554245,0.1619364470243454,0.22215239703655243,0.04450206458568573,0.15481218695640564,0.20643404126167297
46,1.8750000890577212e-05,0.05018395185470581,0.1619948148727417,0.22246038913726807,0.04430414363741875,0.1543317437171936,0.20605367422103882
