epoch,learning_rate,loss,masked_mae,masked_rmse,val_loss,val_masked_mae,val_masked_rmse
0,0.0003000000142492354,0.19193851947784424,0.33584707975387573,0.4233878552913666,0.09172984212636948,0.23545776307582855,0.28980153799057007
1,0.0003000000142492354,0.11438295245170593,0.26159414649009705,0.3341943323612213,0.05661214143037796,0.17802922427654266,0.2328742891550064
2,0.0003000000142492354,0.09886264055967331,0.2421341985464096,0.3113434910774231,0.06507157534360886,0.19565324485301971,0.2493666410446167
3,0.0003000000142492354,0.0921296551823616,0.23259469866752625,0.3004264235496521,0.06702754646539688,0.1977444291114807,0.25170138478279114
4,0.0003000000142492354,0.08498330414295197,0.22249163687229156,0.28877145051956177,0.053146835416555405,0.17118215560913086,0.22514423727989197
5,0.0003000000142492354,0.08134748786687851,0.21713192760944366,0.2823244631290436,0.06169609725475311,0.18713530898094177,0.23934021592140198
6,0.0003000000142492354,0.07750333100557327,0.21122319996356964,0.27603521943092346,0.06303391605615616,0.19002282619476318,0.2419017106294632
7,0.0003000000142492354,0.07563665509223938,0.20853517949581146,0.27268844842910767,0.067967489361763,0.1999390423297882,0.2508498430252075
8,0.0003000000142492354,0.07227037847042084,0.2030150294303894,0.26652857661247253,0.07262474298477173,0.20497852563858032,0.25564324855804443
9,0.0003000000142492354,0.07170288264751434,0.20220854878425598,0.26551809906959534,0.057024698704481125,0.18005944788455963,0.23234565556049347
10,0.0001500000071246177,0.0674402117729187,0.19501487910747528,0.2578308880329132,0.05261644348502159,0.1699981987476349,0.22324669361114502
11,0.0001500000071246177,0.06667476147413254,0.1934853047132492,0.2561415135860443,0.055420033633708954,0.17378221452236176,0.22718343138694763
12,0.0001500000071246177,0.06631563603878021,0.19285298883914948,0.2555718421936035,0.05861721932888031,0.18014147877693176,0.2325199544429779
13,0.0001500000071246177,0.06523562967777252,0.19112060964107513,0.25339049100875854,0.05603091046214104,0.17810383439064026,0.22970908880233765
14,0.0001500000071246177,0.06435470283031464,0.18958228826522827,0.25186002254486084,0.059745341539382935,0.1819867640733719,0.23403336107730865
15,0.0001500000071246177,0.06415292620658875,0.18929502367973328,0.2514282763004303,0.06107620522379875,0.1841708868741989,0.23647615313529968
16,7.500000356230885e-05,0.06186293810606003,0.18499141931533813,0.24694475531578064,0.05998809263110161,0.18481922149658203,0.23560626804828644
17,7.500000356230885e-05,0.061693791300058365,0.18464215099811554,0.24675412476062775,0.06484761834144592,0.19090060889720917,0.24239397048950195
18,7.500000356230885e-05,0.06137444078922272,0.1841810792684555,0.24587571620941162,0.05963072180747986,0.18142816424369812,0.23343145847320557
19,7.500000356230885e-05,0.060943327844142914,0.1833440065383911,0.2451615333557129,0.05916088446974754,0.18315911293029785,0.2340358942747116
20,7.500000356230885e-05,0.06062564253807068,0.18287278711795807,0.24455305933952332,0.06349258869886398,0.1903381496667862,0.24092136323451996
